0:x= 2.500000 f= 0.579890
1:x= 2.750000 f= 0.037967
2:x= 2.875000 f= -0.298645
3:x= 2.812500 f= -0.125117
4:x= 2.781250 f= -0.042246
5:x= 2.765625 f= -0.001804
6:x= 2.757812 f= 0.018165
7:x= 2.761719 f= 0.008201
8:x= 2.763672 f= 0.003204
9:x= 2.764648 f= 0.000701
10:x= 2.765137 f= -0.000551
11:x= 2.764893 f= 0.000075
12:x= 2.765015 f= -0.000238
13:x= 2.764954 f= -0.000082
14:x= 2.764923 f= -0.000003
15:x= 2.764908 f= 0.000036
16:x= 2.764915 f= 0.000016
17:x= 2.764919 f= 0.000006
18:x= 2.764921 f= 0.000001
19:x= 2.764922 f= -0.000001
20:x= 2.764922 f= 0.000000
21:x= 2.764922 f= -0.000000
22:x= 2.764922 f= -0.000000
